SectorName,ID64X,ID64Y,ID64Z,MaxYCoord,MaxZCoord,MaxXCoord
Aaefong,38,33,53,2535,45015,-65
Aaekaae,45,33,15,2535,-3625,8895
Aaekeau,46,33,15,2535,-3625,10175
Aaekoa,44,33,15,2535,-3625,7615
Aaesaae,27,30,28,-1305,13015,-14145
Aaeseau,28,30,28,-1305,13015,-12865
Aaeshoa,7,32,43,1255,32215,-39745
Aaesoa,26,30,28,-1305,13015,-15425
Aaeyio,56,31,38,-25,25815,22975
Aaeyoe,55,31,38,-25,25815,21695
Aaeyoea,57,31,38,-25,25815,24255
Abairdy,61,32,46,1255,36055,29375
Abairst,62,32,46,1255,36055,30655
Aedgaae,35,33,22,2535,5335,-3905
Aedgee,37,33,22,2535,5335,-1345
Aedgorn,38,33,22,2535,5335,-65
Aefobb,24,33,60,2535,53975,-17985
Aefold,29,33,60,2535,53975,-11585
Aefonds,25,33,60,2535,53975,-16705
Aefonk,27,33,22,2535,5335,-14145
Aefonn,29,33,22,2535,5335,-11585
Aemao,48,31,7,-25,-13865,12735
Aemo,50,31,7,-25,-13865,15295
Aemonz,42,31,45,-25,34775,5055
Aemorrs,40,31,45,-25,34775,2495
Aemorsch,45,31,45,-25,34775,8895
Aemost,39,31,45,-25,34775,1215
Aemosty,49,31,45,-25,34775,14015
Aemosys,48,31,45,-25,34775,12735
Aeyolch,17,30,35,-1305,21975,-26945
Aeyomy,18,30,35,-1305,21975,-25665
Aeyort,14,30,35,-1305,21975,-30785
Aeyoz,15,30,35,-1305,21975,-29505
Agnaihs,17,31,36,-25,23255,-26945
Agnaims,23,31,36,-25,23255,-19265
Agnaimt,26,31,36,-25,23255,-15425
Agnainks,37,31,36,-25,23255,-1345
Agnairp,19,31,36,-25,23255,-24385
Agnairr,25,31,36,-25,23255,-16705
Agnairs,28,31,36,-25,23255,-12865
Agnairt,31,31,36,-25,23255,-9025
Agnairy,36,31,36,-25,23255,-2625
Agnaitts,20,31,36,-25,23255,-23105
Agnaiv,21,31,36,-25,23255,-21825
Agnaiw,24,31,36,-25,23255,-17985
Agnaix,27,31,36,-25,23255,-14145
Agnaiz,32,31,36,-25,23255,-7745
